;Error_Word;Correct_Word;substitution;insertion;deletion;transposition;single/multi
0;Picjler;Pichler;1;;;;1
1;Psychatr;Psychiater;;;2;;2
2;psyhother;Psychiater;1;1;2;;4
3;psychother;Psychiater;1;;2;;3
4;hausverwaltiung;Hausverwaltung;;1;;;1
5;Psychatrie;Psychiatrie;;;1;;1
6;UmzugSpedition;Umzugsspedition;;;1;;1
7;Whonung;Wohnung;;;;1;1
8;fußpfelge;Fußpflege;;;;1;1
9;gebaude;Gebäude;1;;;;1
10;geäude;Gebäude;;;1;;1
11;zierat;Zierrat;;;1;;1
12;Immobileinagentur;Immobilienagentur;;;;1;1
13;Orthopädr;Orthopäde;1;;;;1
14;AAsylrecht;Asylrecht;;1;;;1
15;Pssfoto;Passfoto;;;1;;1
16;Rückgae;Rückgabe;;;1;;1
17;Motot;Motor;1;;;;1
18;uind;und;;1;;;1
19;Tischlerr;Tischler;;1;;;1
20;Flieesen;Fliesen;;1;;;1
21;StadBäckerei;Stadtbäckerei;;;1;;1
22;Gastho;Gasthof;;;1;;1
23;Orthopädew;Orthopäde;;1;;;1
24;sanitäör;sanitär;;1;;;1
25;taxiunternhemen;Taxiunternehmen;;;;1;1
26;Immobilienmaklre;Immobilienmakler;;;;1;1
27;Immobilienmakelr;Immobilienmakler;;;;1;1
28;Rechtsanwaöt;Rechtsanwalt;1;;;;1
29;Putuarbeiten;Putzarbeiten;1;;;;1
30;Netwerktechnik;Netzwerktechnik;;;1;;1
31;Immobilienmaklrer;Immobilienmakler;;1;;;1
32;Renteversicherung;Rentenversicherung;;;1;;1
33;textieldruck;Textildruck;;1;;;1
34;Brüroreinigung;Büroreinigung;;1;;;1
36;rechtsanwalte;Rechtsanwälte;1;;;;1
37;Gartenabu;Gartenbau;;;;1;1
38;Essne;essen;;;;1;1
39;umüge;Umzüge;;;1;;1
40;Restsuranrs;Restaurants;2;;;;2
41;Grsd;Grad;1;;;;1
43;cednter;Center;;1;;;1
44;Hausveralter;Hausverwalter;;;1;;1
45;Spielplaltz;Spielplatz;;1;;;1
46;Werkszatt;Werkstatt;1;;;;1
47;Eelektriker;Elektriker;;1;;;1
48;Radiologuie;Radiologie;;1;;;1
49;Prodologe;Podologe;;1;;;1
50;Ffamilie;Familie;;1;;;1
51;Essn;essen;;;1;;1
52;SWteuerberater;Steuerberater;;1;;;1
53;Schneidee;Schneider;1;;;;1
54;Elektrieker;Elektriker;;1;;;1
55;Umzzg;Umzug;1;;;;1
56;hufschnied;Hufschmied;1;;;;1
57;bettreutes;betreutes;;1;;;1
58;Hautadrzt;Hautarzt;;1;;;1
59;Gastroenterologee;Gastroenterologe;;1;;;1
60;Katsen;Katzen;1;;;;1
61;ackenprobleme;Nackenprobleme;;;1;;1
62;Reschtsanwahlt;Rechtsanwalt;;;2;;2
63;sportkultour;Sportkultur;;1;;;1
64;Vwgersicherungsvermittler;Versicherungsvermittler;;1;;;1
65;Essenb;essen;;1;;;1
66;Dachdeker;Dachdecker;;;1;;1
67;universitätsmedizn;Universitätsmedizin;;;1;;1
68;Alterflecken;Altersflecken;;;1;;1
69;Kühche;Küche;;1;;;1
70;echtsanwalt;Rechtsanwalt;;;1;;1
71;Kiefernorthopäde;Kieferorthopäde;;1;;;1
72;imobilien;Immobilien;;;1;;1
73;Zahnchirurgia;Zahnchirurgie;1;;;;1
74;imobiliee;Immobilie;;1;1;;2
76;Produktioin;Produktion;;1;;;1
77;Bodenbelege;Bodenbeläge;1;;;;1
78;imlantologie;Implantologie;;;1;;1
79;betäubungsmittelgesetzt;Betäubungsmittelgesetz;;1;;;1
80;einhandel;Weinhandel;;;1;;1
81;imobilie;Immobilie;;;1;;1
